top - 21:30:59 up 1 day, 31 min,  1 user,  load average: 0.85, 0.72, 0.74
Tasks: 309 total,   1 running, 308 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.0 us,  3.0 sy,  0.0 ni, 92.1 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :   7327.8 total,    213.0 free,   4800.9 used,   2314.0 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2212.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2811 amieo     20   0   36.5g  59596  26544 S   0.0   0.8   0:17.17 code
   2843 amieo     20   0   36.4g  45016  18376 S   0.0   0.6   0:35.49 code
   3161 amieo     20   0  776484   5192   2732 S   0.0   0.1   0:00.58 zeitgei+
   3172 amieo     20   0  424892   4840   3476 S   0.0   0.1   0:00.45 zeitgei+
   3178 amieo     20   0  272780   5228   2448 S   0.0   0.1   0:00.37 zeitgei+
   3242 amieo     20   0 1124.0g 139176  52924 S   0.0   1.9   1:05.66 signal-+
   3246 amieo     20   0   32.3g  11540   3116 S   0.0   0.2   0:00.03 signal-+
   3247 amieo     20   0   32.3g  10480   2172 S   0.0   0.1   0:00.02 signal-+
   3280 amieo     20   0   32.6g  38232  14804 S   0.0   0.5   1:22.30 signal-+
   3284 amieo     20   0   32.3g  12124   3456 S   0.0   0.2   0:01.74 signal-+
   3370 amieo     20   0 2792044 769012 194316 S   0.0  10.2   0:52.48 io.elem+
   3385 amieo     20   0    2616     68      0 S   0.0   0.0   0:00.00 sh
   3386 amieo     20   0  233432   1608   1108 S   0.0   0.0   0:00.00 pxgsett+
   5696 amieo     20   0  200180   2420   1808 S   0.0   0.0   0:00.03 gvfsd-m+
   6451 amieo     20   0   32.6g  12544   3680 S   0.0   0.2   0:04.41 signal-+
   8106 amieo     20   0  351992   1712    260 S   0.0   0.0   0:00.12 gvfsd-t+
   8225 amieo     20   0  351932   4172   2056 S   0.0   0.1   0:00.87 gvfs-ud+
   8230 amieo     20   0  354620   2460   1452 S   0.0   0.0   0:00.81 gvfs-af+
   8235 amieo     20   0  273596   1380    768 S   0.0   0.0   0:00.01 gvfs-mt+
   8239 amieo     20   0  276004   2096   1264 S   0.0   0.0   0:00.01 gvfs-gp+
   8243 amieo     20   0  273776   2088   1460 S   0.0   0.0   0:00.01 gvfs-go+
   8258 amieo     20   0  901100   2752   1160 S   0.0   0.0   0:00.15 gvfsd-n+
   8275 amieo     20   0  352880   2380   1432 S   0.0   0.0   0:00.04 gvfsd-d+
  11670 amieo     20   0  351704   2580   1444 S   0.0   0.0   0:00.01 gvfsd-r+
  11679 amieo     20   0 3696644 134148  41436 S   0.0   1.8   2:25.40 spotify
  11761 amieo     20   0  405360  13640   1184 S   0.0   0.2   0:00.10 spotify
  11762 amieo     20   0  405360  15920   3368 S   0.0   0.2   0:00.04 spotify
  11792 amieo     20   0 2956532  51720    208 S   0.0   0.7   0:12.63 spotify
  11816 amieo     20   0  700960  13416    100 S   0.0   0.2   0:00.33 spotify
